,Country,Activity,Age,Fatal (Y/N),Age Group,Top Species,Arm Pts,Leg Pts,Body Pts,Head Pts,Total Pts
92,USA,Wading,12,N,Child,bull shark,10.0,20.0,0.0,0.0,30.0
93,USA,Playing,11,N,Child,bull shark,0.0,0.0,0.0,0.0,0.0
94,USA,Attempting to rescue a shark,17,N,Teenager,nurse shark,10.0,0.0,0.0,0.0,10.0
95,REUNION,Surfing,47,N,Adult,bull shark,10.0,0.0,0.0,100.0,110.0
96,NEW CALEDONIA,Snorkeling,50,Y,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
97,SOUTH AFRICA,Diving,29,N,Adult,white shark,10.0,20.0,0.0,0.0,30.0
98,AUSTRALIA,Surfing,26,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
99,AUSTRALIA,Surf skiing ,71,N,Senior,white shark,0.0,0.0,0.0,0.0,0.0
100,REUNION,Surfing,13,Y,Teenager,bull shark,0.0,0.0,0.0,0.0,0.0
101,USA,Spearfishing,70,N,Senior,bull shark,0.0,0.0,0.0,100.0,100.0
102,SOUTH AFRICA,Kayak Fishing,36,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
103,USA,Standing / Snorkeling,58,N,Adult,tiger shark,10.0,20.0,0.0,100.0,130.0
104,REUNION,Swimming,22,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
105,AUSTRALIA,Rowing,57,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
106,BAHAMAS,Snorkeling,34,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
107,AUSTRALIA,Spearfishing,17,Y,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
108,USA,Surfing,50,N,Adult,white shark,0.0,20.0,50.0,0.0,70.0
109,AUSTRALIA,Spearfishing,17,Y,Teenager,tiger shark,0.0,0.0,0.0,0.0,0.0
110,USA,Surfing,34,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
111,USA,Standing in inner tube,7,N,Child,bull shark,0.0,20.0,0.0,0.0,20.0
112,AUSTRALIA,Surfing,23,N,Adult,white shark,10.0,20.0,0.0,0.0,30.0
113,USA,Fishing ,43,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
